,City,Country,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Punta Arenas,CL,62.29,62.6,63,0,2.3,-53.15,-70.9167
1,Isangel,VU,84.2,84.2,74,75,9.22,-19.55,169.2667
2,Kaitangata,NZ,57.0,57.0,90,100,4.0,-46.2817,169.8464
3,Mataura,NZ,59.2,59.2,65,100,9.31,-46.1927,168.8643
4,Ilulissat,GL,17.6,17.6,45,0,12.66,69.2167,-51.1
5,Phan Thiet,VN,81.68,81.68,63,20,3.71,10.9333,108.1
6,Ribeira Grande,PT,60.69,60.69,84,100,20.87,38.5167,-28.7
7,Atuona,PF,79.56,79.56,74,0,17.18,-9.8,-139.0333
8,Cape Town,ZA,67.5,68.0,82,0,12.66,-33.9258,18.4232
9,Mil'kovo,RU,29.82,29.82,93,85,10.74,54.7167,158.6167
10,Bredasdorp,ZA,55.4,55.4,88,87,2.3,-34.5322,20.0403
11,Batesville,US,30.07,30.2,93,90,5.75,35.7698,-91.641
12,Rikitea,PF,79.41,79.41,69,52,6.31,-23.1203,-134.9692
13,Dikson,RU,-26.7,-26.7,87,100,9.44,73.5069,80.5464
14,Sungai Penuh,ID,75.15,75.15,63,52,2.82,-2.0833,101.3833
15,Jamestown,US,17.6,17.6,79,90,8.05,42.097,-79.2353
16,Albany,US,22.3,25.0,63,0,4.0,42.6001,-73.9662
17,La Palma,US,55.44,57.0,71,1,6.91,33.8464,-118.0467
18,Hilo,US,67.51,71.6,68,75,14.97,19.7297,-155.09
19,Tasiilaq,GL,14.0,14.0,62,75,3.74,65.6145,-37.6368
20,Comodoro Rivadavia,AR,64.4,64.4,88,0,5.68,-45.8667,-67.5
21,Bambous Virieux,MU,76.06,77.0,83,40,1.14,-20.3428,57.7575
22,Manokwari,ID,82.0,82.0,78,100,7.65,-0.8667,134.0833
23,Qaanaaq,GL,14.32,14.32,77,0,5.26,77.484,-69.3632
24,Lagoa,PT,58.98,58.98,87,100,13.33,39.05,-27.9833
25,Castro,BR,57.69,57.69,91,100,6.55,-24.7911,-50.0119
26,Kumul,CN,35.55,35.55,70,100,8.12,42.8,93.45
27,Valparaíso,CL,60.8,60.8,100,90,2.3,-33.0393,-71.6273
28,Chokurdakh,RU,-14.3,-14.3,87,0,2.8,70.6333,147.9167
29,Puerto Ayora,EC,78.01,78.01,91,79,4.52,-0.7393,-90.3518
30,Tura,IN,64.22,64.22,39,94,2.44,25.5198,90.2201
31,Alghero,IT,59.0,59.0,88,0,20.71,40.5589,8.3181
32,Karratha,AU,91.17,91.17,35,0,17.29,-20.7377,116.8463
33,Labuhan,ID,82.83,82.83,77,100,8.88,-6.8844,112.2051
34,Ushuaia,AR,62.6,62.6,72,0,4.61,-54.8,-68.3
35,Vaini,TO,78.8,78.8,89,75,24.16,-21.2,-175.2
36,Avarua,CK,86.0,86.0,70,20,9.22,-21.2078,-159.775
37,Alofi,NU,86.0,86.0,74,75,11.5,-19.0595,-169.9187
38,Busselton,AU,66.24,66.99,55,0,5.99,-33.65,115.3333
39,Yulara,AU,93.2,93.2,38,40,14.97,-25.2406,130.9889
40,Butaritari,KI,81.63,81.63,82,94,15.5,3.0707,172.7902
