,City,Country,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Tuktoyaktuk,CA,-38.2,-38.2,67,20,4.61,69.4541,-133.0374
1,Hobart,AU,66.18,69.01,48,20,6.91,-42.8794,147.3294
2,Cam Ranh,VN,75.2,75.2,83,40,10.36,11.9214,109.1591
3,Punta Arenas,CL,62.6,62.6,63,0,4.61,-53.15,-70.9167
4,Rikitea,PF,79.02,79.02,70,16,7.02,-23.1203,-134.9692
5,Saint-Philippe,RE,74.86,77.0,65,0,5.75,-21.3585,55.7679
6,Dongsheng,CN,27.73,27.73,74,0,6.96,39.8161,109.9776
7,Atuona,PF,79.65,79.65,72,0,16.2,-9.8,-139.0333
8,Hermanus,ZA,62.01,62.01,91,91,1.99,-34.4187,19.2345
9,Qaanaaq,GL,14.72,14.72,74,0,3.83,77.484,-69.3632
10,Bluff,NZ,53.51,53.51,87,100,14.34,-46.6,168.3333
11,Camacha,PT,60.8,60.8,88,40,4.61,33.0833,-16.3333
12,Chiscani,RO,44.8,45.0,100,75,6.26,45.1833,27.9333
13,Provideniya,RU,-0.4,-0.4,65,0,31.32,64.3833,-173.3
14,Pevek,RU,-4.16,-4.16,75,0,2.59,69.7008,170.3133
15,Hithadhoo,MV,81.84,81.84,82,29,14.5,-0.6,73.0833
16,Busselton,AU,62.37,64.99,67,0,3.0,-33.65,115.3333
17,Souillac,MU,77.0,77.0,83,40,3.44,-20.5167,57.5167
18,East London,ZA,70.29,70.29,82,0,1.59,-33.0153,27.9116
19,Daru,PG,84.51,84.51,73,100,9.64,-9.0763,143.2092
20,Lata,PT,54.39,57.0,90,100,20.0,40.1629,-8.3327
21,Bogovarovo,RU,-11.09,-11.09,90,100,3.38,58.9785,47.0246
22,Butaritari,KI,81.79,81.79,80,98,14.9,3.0707,172.7902
23,Macia,MZ,72.91,72.91,95,32,5.64,-25.0269,33.0989
24,Ushuaia,AR,66.2,66.2,68,0,2.3,-54.8,-68.3
25,Cape Town,ZA,68.25,69.01,77,0,14.97,-33.9258,18.4232
26,Mataura,NZ,57.76,57.76,67,100,8.55,-46.1927,168.8643
27,Olafsvik,IS,27.88,27.88,95,100,19.64,64.8945,-23.7142
28,Jiblah,YE,52.65,52.65,68,31,2.33,13.9216,44.1467
29,Saint Paul Harbor,US,33.8,33.8,86,90,8.81,57.79,-152.4072
30,Tiksi,RU,-14.37,-14.37,81,100,2.51,71.6872,128.8694
31,Novozavidovskiy,RU,7.92,7.92,95,100,5.99,56.55,36.4333
32,Khatanga,RU,-14.04,-14.04,84,0,7.45,71.9667,102.5
33,Bredasdorp,ZA,57.2,57.2,88,86,3.67,-34.5322,20.0403
34,Hong Kong,HK,59.92,62.01,92,100,10.8,22.2855,114.1577
35,São João da Barra,BR,74.08,74.08,86,18,7.54,-21.6403,-41.0511
36,Goundam,ML,72.3,72.3,18,0,11.18,16.4145,-3.6708
37,New Norfolk,AU,66.02,69.01,43,0,3.0,-42.7826,147.0587
38,Carutapera,BR,79.79,79.79,78,100,5.84,-1.195,-46.02
39,Hilo,US,68.22,73.4,64,40,16.11,19.7297,-155.09
40,Nemuro,JP,21.2,21.2,53,20,5.75,43.3236,145.575
41,Tasiilaq,GL,15.8,15.8,57,90,12.66,65.6145,-37.6368
42,Tommot,RU,-2.85,-2.85,89,99,1.97,58.9564,126.2925
43,Cidreira,BR,74.66,74.66,82,12,17.02,-30.1811,-50.2056
44,Port Alfred,ZA,69.01,69.01,94,6,3.11,-33.5906,26.891
45,Castro,BR,59.79,59.79,94,94,8.37,-24.7911,-50.0119
46,Gebre Guracha,ET,48.63,48.63,82,18,2.48,9.8,38.4
47,Sitka,US,15.8,15.8,48,20,14.97,57.0531,-135.33
48,Anta,IN,61.39,61.39,35,100,2.93,25.15,76.3
49,Novikovo,RU,21.22,21.22,98,100,1.43,51.1537,37.8879
50,George Town,MY,78.06,80.6,88,20,2.3,5.4112,100.3354
51,Saskylakh,RU,-25.28,-25.28,83,0,8.86,71.9167,114.0833
52,Kapaa,US,70.7,71.6,53,90,19.57,22.0752,-159.319
53,Mahbūbābād,IN,61.61,61.61,92,2,3.24,17.6167,80.0167
54,Constitución,CL,61.3,61.3,86,0,3.27,-35.3333,-72.4167
55,Shangrao,CN,46.96,46.96,92,100,4.79,28.4532,117.9686
56,Arraial do Cabo,BR,74.79,74.79,85,0,2.53,-22.9661,-42.0278
